dx1 dy1 dx2 dy2 dx3 dy3 dx4 dy4 dx5 dy5
0.0000 3.3911 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 2.9517 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 2.9552 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 3.2049 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.2059 2.7168 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0429 2.8334 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.1045 2.7407 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.1542 2.4078 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.1711 2.1787 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.1768 2.1096 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.2357 1.5973 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.6530 2.7513 0.3554 1.7121 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.5003 2.7940 0.4414 1.7528 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.7831 2.3920 0.3344 1.2463 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.4059 2.5322 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.5905 2.4260 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.1653 1.9295 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.3538 1.9447 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.9593 1.8556 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.1134 1.6701 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.0478 1.7112 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.9397 1.7280 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.9164 1.3858 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.5774 1.2370 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.3635 1.0953 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.2807 1.4397 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.0311 1.3878 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.0075 1.0433 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.7329 1.2577 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.6391 0.9978 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.2154 1.1772 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.4211 0.7518 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.9488 1.0381 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.2174 1.2154 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.0259 0.6824 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.9567 1.0631 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.6448 1.1033 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.1470 0.9823 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.3756 1.2437 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-2.6911 1.1175 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-2.8905 0.9940 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-1.2374 -5.2937 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.8173 -5.3888 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-1.2039 -5.3561 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.8890 -5.2415 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.7548 -5.1656 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-1.0217 -4.9557 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.5588 -4.7450 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.6204 -4.7151 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.4039 -4.6627 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
