x y
8.0000 5.0000
8.0000 5.0000
8.0000 5.0000
8.0000 5.0000
7.9959 5.1570
7.9836 5.3136
7.9631 5.4693
7.9344 5.6237
7.8978 5.7765
7.8532 5.9271
7.8007 6.0751
7.7406 6.2202
7.6730 6.3620
7.5981 6.5000
7.5160 6.6339
7.4271 6.7634
7.3314 6.8880
7.2294 7.0074
7.1213 7.1213
7.0074 7.2294
6.8880 7.3314
6.7634 7.4271
6.6339 7.5160
6.5000 7.5981
6.3620 7.6730
6.2202 7.7406
6.0751 7.8007
5.9271 7.8532
5.7765 7.8978
5.6237 7.9344
5.4693 7.9631
5.3136 7.9836
5.1570 7.9959
5.0000 8.0000
4.8430 7.9959
4.6864 7.9836
4.5307 7.9631
4.3763 7.9344
4.2235 7.8978
4.0729 7.8532
3.9249 7.8007
3.7798 7.7406
3.6380 7.6730
3.5000 7.5981
3.3661 7.5160
3.2366 7.4271
3.1120 7.3314
2.9926 7.2294
2.8787 7.1213
2.7706 7.0074
2.6686 6.8880
2.5729 6.7634
2.4840 6.6339
2.4019 6.5000
2.3270 6.3620
2.2594 6.2202
2.1993 6.0751
2.1468 5.9271
2.1022 5.7765
2.0656 5.6237
2.0369 5.4693
2.0164 5.3136
2.0041 5.1570
2.0000 5.0000
2.0041 4.8430
2.0164 4.6864
2.0369 4.5307
2.0656 4.3763
2.1022 4.2235
2.1468 4.0729
2.1993 3.9249
2.2594 3.7798
2.3270 3.6380
2.4019 3.5000
2.4840 3.3661
2.5729 3.2366
2.6686 3.1120
2.7706 2.9926
2.8787 2.8787
2.9926 2.7706
3.1120 2.6686
3.2366 2.5729
3.3661 2.4840
3.5000 2.4019
3.6380 2.3270
3.7798 2.2594
3.9249 2.1993
4.0729 2.1468
4.2235 2.1022
4.3763 2.0656
4.5307 2.0369
4.6864 2.0164
4.8430 2.0041
5.0000 2.0000
5.1570 2.0041
5.3136 2.0164
5.4693 2.0369
5.6237 2.0656
5.7765 2.1022
5.9271 2.1468
6.0751 2.1993
6.2202 2.2594
6.3620 2.3270
6.5000 2.4019
6.6339 2.4840
6.7634 2.5729
6.8880 2.6686
7.0074 2.7706
7.1213 2.8787
7.2294 2.9926
7.3314 3.1120
7.4271 3.2366
7.5160 3.3661
7.5981 3.5000
7.6730 3.6380
7.7406 3.7798
7.8007 3.9249
7.8532 4.0729
7.8978 4.2235
7.9344 4.3763
7.9631 4.5307
7.9836 4.6864
7.9959 4.8430
