dx1 dy1 dx2 dy2 dx3 dy3 dx4 dy4 dx5 dy5
0.0000 2.7063 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 3.0922 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 2.9916 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 2.7498 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.0073 2.5269 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0425 2.4333 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.1796 2.4779 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0826 2.4901 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0457 2.1782 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.1123 2.1637 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.1865 1.9847 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.8164 2.7676 0.3883 1.7958 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.6869 2.6179 0.4733 1.4971 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.7603 2.5696 0.4814 1.6914 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.5373 2.0995 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.3070 2.1069 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.4981 1.9585 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.3705 1.8684 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.2739 1.7081 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-6.1245 1.8526 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.7962 1.7756 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.4542 1.8622 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.6899 1.3720 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.4325 1.6008 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.3462 1.4022 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.5004 1.0594 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-5.2952 1.3202 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.6321 1.1486 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.9246 1.3230 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.1204 1.1729 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.7020 1.1941 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.2850 1.1668 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.0208 0.8375 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-4.0041 0.8219 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.6197 0.8523 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.6561 1.0638 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.5150 0.8825 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.5483 1.1857 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.2830 1.2218 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-2.8773 1.0759 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-3.1699 0.9735 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-1.2729 -5.6321 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-1.4515 -5.3792 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.8576 -5.2972 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-1.1783 -5.2655 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.5895 -5.1387 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.8640 -5.1507 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.5227 -5.0417 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.4613 -4.9658 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.5185 -5.0696 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.2689 -4.5356 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.4123 -4.4593 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.2902 -4.1617 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.2870 -4.1200 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.1039 -3.6543 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.1513 -3.7592 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.1245 -3.5159 2.7041 -4.8465 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.2402 -3.6914 3.2340 -4.2383 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.0905 -3.4484 3.0110 -4.2168 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0265 -2.8781 2.9673 -4.1235 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0000 -2.8444 2.9101 -3.8816 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.2597 -2.9512 3.1206 -3.7267 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.0110 -2.7653 2.9257 -3.6498 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
0.0126 -2.6569 3.0654 -3.3415 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.1608 -2.3322 2.9666 -3.4980 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.1431 -2.1496 2.9906 -3.1824 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
-0.2495 -1.9816 2.8780 -2.7319 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
